iter	Passed	Remaining
0	91	4488
1	170	4080
2	256	4025
3	336	3872
4	425	3830
5	513	3764
6	597	3667
7	684	3594
8	769	3504
9	849	3399
10	933	3311
11	1015	3216
12	1099	3128
13	1178	3030
14	1258	2937
15	1340	2848
16	1421	2759
17	1515	2694
18	1600	2610
19	1690	2535
20	1783	2463
21	1870	2380
22	1961	2302
23	2045	2215
24	2126	2126
25	2204	2035
26	2290	1951
27	2372	1864
28	2454	1777
29	2539	1692
30	2623	1608
31	2707	1522
32	2789	1436
33	2868	1349
34	2953	1265
35	3032	1179
36	3117	1095
37	3198	1010
38	3286	927
39	3375	843
40	3455	758
41	3540	674
42	3627	590
43	3711	506
44	3793	421
45	3878	337
46	3962	252
47	4042	168
48	4125	84
49	4210	0
